"file name,,""file size,"",""number of words,"",""% positive,"",""% negative,"",""% uncertainty,"",""% litigious,"",""% modal-weak,"",""% modal moderate,"",""% modal strong,"",""% constraining,"",""# of alphabetic,"",""# of digits,"",""# of numbers,"",""avg # of syllables per word,"",""average word length,"",vocabulary"
C:\temp\Clean2\DEVON\16.txt,358793,44011,0.5839449228601941,1.5996000999750064,1.4291881575060779,0.8884142600713457,0.3749062734316421,0.0,0.159051146304333,1.0451932471427596,267456,20072,6869,1.9179523300992933,5.68089795732885,2893
C:\temp\Clean2\DEVON\17.txt,400569,48718,0.7061045198899791,1.7201034525226815,1.3691038219959768,1.0119463032144176,0.35715751878155916,0.0,0.15599983578964655,1.0386304856521205,297131,23471,8064,1.932099018843138,5.726384498542633,2944
C:\temp\Clean2\DEVON\18.txt,379929,46547,0.8271209744988937,1.8798203965883946,1.4050314735643543,0.8980170580273702,0.36522224848003093,0.0,0.2083915182503706,1.1665628289685694,283328,21444,7397,1.9454959503297742,5.774185232130964,3019
C:\temp\Clean2\DEVON\19.txt,392511,44515,0.718858811636527,2.0285297090868246,1.392788947545771,1.0311131079411435,0.3886330450409974,0.0,0.1392788947545771,1.1119847242502527,288726,30040,9306,1.9251038975626193,5.7153094462540714,3008
C:\temp\Clean2\DEVON\20.txt,367908,42628,0.7459885521253636,2.24500328422633,1.3840668105470582,1.1236745800882049,0.3753401520127616,0.0,0.117293797503988,1.1095993243877265,273511,25747,8191,1.9338932157267523,5.728488317537769,2949
C:\temp\Clean2\DEVON\21.txt,395563,46973,0.7025312413514146,2.1821046132884847,1.4348668383965257,1.0239925063334256,0.3874566240180529,0.0,0.1447640133693824,1.1666276371532582,297297,25311,8008,1.9258084431481914,5.686969109914206,3226
C:\temp\Clean2\MICRO\16.txt,341731,44753,0.8848568811029429,1.923893370276853,1.3429267311688602,0.9407190579402498,0.55862176837307,0.0,0.20780729783478202,0.6815185574151453,264500,13701,4567,1.9175921167296046,5.7003329385739505,3198
C:\temp\Clean2\MICRO\17.txt,336951,43675,0.9524899828277046,1.8660560961648542,1.3394390383514596,0.979965655409273,0.5907269605037206,0.0,0.2014882655981683,0.6662850601030338,259714,14401,4782,1.9272123640526617,5.726204922724671,3195
C:\temp\Clean2\MICRO\18.txt,343493,44809,0.9261532281461313,1.8099042603048496,1.3144680756098104,1.0622865942109843,0.7007520810551452,0.0,0.16960878394965298,0.6739717467473052,264992,14470,4768,1.9159097502733826,5.694704188890625,3254
C:\temp\Clean2\MICRO\19.txt,328017,42748,0.9661270702722935,1.789557406194442,1.4082530176850379,1.0363057920838403,0.7696266491999625,0.0,0.13567886216899036,0.6526621128473847,253751,13346,4340,1.9230607279872742,5.716548142603163,3236
C:\temp\Clean2\MICRO\20.txt,370986,44738,0.923152577227413,1.7323081049666949,1.4886673521391212,0.9879744288971345,0.8136260002682284,0.0,0.15646653851312084,0.6616299342840538,281893,23264,6787,1.9026554606821942,5.6675980151101975,3292
C:\temp\Clean2\MICRO\21.txt,379470,46124,1.0211603503598994,1.7214465354262423,1.4461018125054201,1.0124880756222356,0.8195299627092187,0.0,0.14742867054028272,0.6786054982221836,290246,22412,6544,1.9030873298066082,5.668502298152806,3564
C:\temp\Clean2\MOH\16.txt,475321,62829,0.727371118432571,2.3142179566760572,1.8606057712202961,1.725317926435245,0.8785751802511579,0.0,0.31673271896735583,0.8897165321746328,372213,17329,4835,1.860032787407089,5.530169189387067,3646
C:\temp\Clean2\MOH\17.txt,422790,54430,0.6448649641741686,2.4710637516075695,1.9474554473635861,1.7968032335109314,0.8487966195112989,0.0,0.3233510931471615,0.9167738379570091,327691,18013,4875,1.869226529487415,5.567168840712842,3342
C:\temp\Clean2\MOH\18.txt,459056,58460,0.7885733835100923,2.769414984604858,1.7892576120424224,1.5634621963735889,0.8039685254875127,0.0,0.32158741019500514,1.0092370851864523,351873,22325,5986,1.8700650017105713,5.570030790283955,3378
C:\temp\Clean2\MOH\19.txt,449141,57289,0.9251339698720521,2.839986733927979,1.686187575276231,1.7315715058737278,0.7977098570406186,0.0,0.2827767983382499,0.895459861404458,344572,21331,5595,1.8765382534168864,5.582031454554976,3448
C:\temp\Clean2\MOH\20.txt,378566,46202,0.7488853296394096,2.608112202934938,1.7704861261417255,1.8743777325656896,0.7532141465737414,0.0,0.3030171854032293,0.8073243582528896,289961,21874,5580,1.8707198822561795,5.56287606597117,3163
C:\temp\Clean2\MOH\21.txt,10036,1501,0.13324450366422386,0.7328447701532311,0.6662225183211192,0.0,0.2664890073284477,0.0,0.9327115256495668,0.0,8126,8,4,1.7101932045303132,5.289806795469687,354
C:\temp\Clean2\NVIDIA\16.txt,316761,41436,0.7481417125205136,2.061009749975866,1.4576696592335168,1.0015445506323004,0.7384882710686359,0.0,0.27753644174148084,0.750555072883483,247510,12507,3686,1.870354281301284,5.535959069408244,3141
C:\temp\Clean2\NVIDIA\17.txt,316900,41294,0.726497796290018,1.9542790720201482,1.4021407468397347,0.9371821572141231,0.7192328183271177,0.0,0.28817745919504045,0.7482927301787184,247394,12694,3783,1.8736378166319563,5.549837748825495,3149
C:\temp\Clean2\NVIDIA\18.txt,287483,37440,0.8600427350427351,1.936431623931624,1.3675213675213675,1.09508547008547,0.7131410256410257,0.0,0.23504273504273504,0.6944444444444444,225260,10801,3113,1.8722489316239317,5.535630341880342,3144
